-0.4, 0.5
0.4, 0.5
0.0, 1.3
-0.3, 1.9
0.3, 1.9
-0.4, 2.5
0.4, 2.5
0.0, 3.3
-0.3, 3.9
0.3, 3.9
-0.4, 4.5
0.4, 4.5
0.0, 5.3
-0.3, 5.9
0.3, 5.9
-0.4, 6.5
0.4, 6.5
0.0, 7.3
-0.3, 7.9
0.3, 7.9
-0.4, 8.5
0.4, 8.5
0.0, 9.3
-0.3, 9.9
0.3, 9.9
-0.4, 20.5
0.4, 20.5
0.0, 21.3
-0.3, 21.9
0.3, 21.9
-0.4, 22.5
0.4, 2.5
0.0, 23.3
-0.3, 23.9
0.3, 23.9
-0.4, 24.5
0.4, 24.5
0.0, 25.3
-0.3, 25.9
0.3, 25.9
-0.4, 26.5
0.4, 26.5
0.0, 27.3
-0.3, 27.9
0.3, 27.9
-0.4, 28.5
0.4, 28.5
0.0, 29.3
-0.3, 29.9
0.3, 29.9
-0.4, 40.5
0.4, 40.5
0.0, 41.3
-0.3, 41.9
0.3, 41.9
-0.4, 42.5
0.4, 42.5
0.0, 43.3
-0.3, 43.9
0.3, 43.9
-0.4, 44.5
0.4, 44.5
0.0, 45.3
-0.3, 45.9
0.3, 45.9
-0.4, 46.5
0.4, 46.5
0.0, 47.3
-0.3, 47.9
0.3, 47.9
-0.4, 48.5
0.4, 48.5
0.0, 49.3
-0.3, 49.9
